"","Date","Year","Month","DOY","Variable","Value"
"135",1984-11-09,1984,11,314,"Discharge_cfs",1150
"136",1984-11-09,1984,11,314,"SuspendedSedimentConcentration_mg.L",1190
"137",1985-01-07,1985,1,7,"Discharge_cfs",1020
"138",1985-01-07,1985,1,7,"SuspendedSedimentConcentration_mg.L",258
"139",1985-03-01,1985,3,60,"Discharge_cfs",1310
"140",1985-03-01,1985,3,60,"SuspendedSedimentConcentration_mg.L",1480
"141",1985-03-14,1985,3,73,"Discharge_cfs",3640
"142",1985-03-14,1985,3,73,"SuspendedSedimentConcentration_mg.L",7240
"143",1985-04-29,1985,4,119,"Discharge_cfs",8520
"144",1985-04-29,1985,4,119,"SuspendedSedimentConcentration_mg.L",2120
"145",1985-05-02,1985,5,122,"Discharge_cfs",8480
"146",1985-05-02,1985,5,122,"SuspendedSedimentConcentration_mg.L",2130
"147",1985-06-04,1985,6,155,"Discharge_cfs",6350
"148",1985-06-04,1985,6,155,"SuspendedSedimentConcentration_mg.L",412
"149",1985-07-16,1985,7,197,"Discharge_cfs",1480
"150",1985-07-16,1985,7,197,"SuspendedSedimentConcentration_mg.L",8460
"151",1985-07-30,1985,7,211,"Discharge_cfs",861
"152",1985-07-30,1985,7,211,"SuspendedSedimentConcentration_mg.L",1600
"153",1985-08-01,1985,8,213,"Discharge_cfs",919
"154",1985-08-01,1985,8,213,"SuspendedSedimentConcentration_mg.L",96
"155",1985-08-11,1985,8,223,"Discharge_cfs",1510
"156",1985-08-11,1985,8,223,"SuspendedSedimentConcentration_mg.L",11000
"157",1985-08-25,1985,8,237,"Discharge_cfs",1380
"158",1985-08-25,1985,8,237,"SuspendedSedimentConcentration_mg.L",18800
"159",1985-09-17,1985,9,260,"Discharge_cfs",570
"160",1985-09-17,1985,9,260,"SuspendedSedimentConcentration_mg.L",307
"161",1985-09-19,1985,9,262,"Discharge_cfs",817
"162",1985-09-19,1985,9,262,"SuspendedSedimentConcentration_mg.L",7290
"163",1985-09-20,1985,9,263,"Discharge_cfs",978
"164",1985-09-20,1985,9,263,"SuspendedSedimentConcentration_mg.L",8280
"165",1985-09-21,1985,9,264,"Discharge_cfs",1280
"166",1985-09-21,1985,9,264,"SuspendedSedimentConcentration_mg.L",5490
"167",1985-10-11,1985,10,284,"Discharge_cfs",2280
"168",1985-10-11,1985,10,284,"SuspendedSedimentConcentration_mg.L",8260
"169",1985-11-01,1985,11,305,"Discharge_cfs",966
"170",1985-11-01,1985,11,305,"SuspendedSedimentConcentration_mg.L",453
"171",1986-01-14,1986,1,14,"Discharge_cfs",1430
"172",1986-01-14,1986,1,14,"SuspendedSedimentConcentration_mg.L",330
"173",1986-03-13,1986,3,72,"Discharge_cfs",2800
"174",1986-03-13,1986,3,72,"SuspendedSedimentConcentration_mg.L",301
"175",1986-05-14,1986,5,134,"Discharge_cfs",2630
"176",1986-05-14,1986,5,134,"SuspendedSedimentConcentration_mg.L",430
"177",1986-06-27,1986,6,178,"Discharge_cfs",5290
"178",1986-06-27,1986,6,178,"SuspendedSedimentConcentration_mg.L",3690
"179",1986-07-01,1986,7,182,"Discharge_cfs",4730
"180",1986-07-01,1986,7,182,"SuspendedSedimentConcentration_mg.L",250
"181",1986-07-23,1986,7,204,"Discharge_cfs",3290
"182",1986-07-23,1986,7,204,"SuspendedSedimentConcentration_mg.L",2430
"183",1986-08-04,1986,8,216,"Discharge_cfs",973
"184",1986-08-04,1986,8,216,"SuspendedSedimentConcentration_mg.L",1040
"185",1986-08-05,1986,8,217,"Discharge_cfs",848
"186",1986-08-05,1986,8,217,"SuspendedSedimentConcentration_mg.L",3500
"187",1986-09-24,1986,9,267,"Discharge_cfs",771
"188",1986-09-24,1986,9,267,"SuspendedSedimentConcentration_mg.L",4200
"189",1987-01-06,1987,1,6,"Discharge_cfs",1490
"190",1987-01-06,1987,1,6,"SuspendedSedimentConcentration_mg.L",435
"191",1987-03-03,1987,3,62,"Discharge_cfs",2660
"192",1987-03-03,1987,3,62,"SuspendedSedimentConcentration_mg.L",284
"193",1987-04-19,1987,4,109,"Discharge_cfs",6280
